,health
104,"For emergency services in Lebanon dial 112. Ambulance services are: not widely available and training and availability of emergency responders may be below U.S. standards. not equipped with state-of-the-art medical equipment. Injured or seriously ill travelers may prefer to take a taxi or private vehicle to the nearest major hospital rather than wait for an ambulance. We do not pay the medical bills. Be aware that U.S. Medicare/Medicaid does not apply overseas. Most hospitals and doctors overseas do not accept U.S. health insurance. Medical Insurance: Make sure your health insurance plan provides coverage overseas. Most care providers overseas only accept cash payments. See our webpage for more information on insurance providers for overseas coverage. Visit the U.S. Centers for Disease Control and Prevention for more information on type of insurance you should consider before you travel overseas. We strongly recommend supplemental insurance to cover medical evacuation. Always carry your prescription medication in original packaging, along with your doctor’s prescription. Check with the Lebanon Ministry of Health to ensure the medication is legal in Lebanon. Vaccinations: Be up-to-date on all vaccinations recommended by the U.S. Centers for Disease Control and Prevention. Further health information: World Health Organization U.S. Centers for Disease Control and Prevention (CDC) Air Quality: Visit AirNow Department of State for information on air quality at U.S. Embassies and Consulates. Water Quality: In all areas, tap water is not potable. Bottled water and beverages are generally safe. Health facilities in general: Adequate health facilities are available in Beirut, but health care in rural areas may be below U.S. standards. Public medical clinics lack basic resources and supplies. Hospitals and doctors often require payment “up front” prior to service or admission. Credit card payment is not always accepted; most hospitals and medical professionals require cash payment, often in U.S. dollars. Private hospitals usually require advance payment or proof of adequate insurance before admitting a patient. Medical staff may have limited English proficiency. Patients bear all costs for transfer to or between hospitals. Psychological and psychiatric services are limited, even in the larger cities. Pharmaceuticals Due to the current economic situation in Lebanon, many medications are not available in pharmacies and medical facilities. Exercise caution when purchasing medication outside the United States. Pharmaceuticals, both over the counter and requiring prescription in the United States, are often readily available for purchase with little controls. Medication should be purchased in consultation with a medical professional and from reputable establishments . Always carry your prescription medication in original packaging, along with your doctor’s prescription. Check with the Ministry of Health to ensure the medication is legal in Lebanon. U.S. Customs and Border Protection and the Food and Drug Administration are responsible for rules governing the transport of medication back to the United States. Medication purchased abroad must meet their requirements to be legally brought back into the United States. Medication should be for personal use and must be approved for usage in the United States. Please visit the U.S. Customs and Border Protection and the Food and Drug Administration websites for more information. The U.S. Embassy maintains a list of doctors and hospitals . We do not endorse or recommend any specific medical provider or clinic."
105,"Medical facilities in Lesotho are limited and ambulance service is unreliable. Specialist care is available in Bloemfontein, South Africa, 90 miles away. U.S. Embassy Maseru maintains a list of physicians and other health care professionals , but does not guarantee service or provide recommendations. Health care in Lesotho itself does not meet Western standards. There are few dependable specialists in town and there is a fully equipped emergency room at Queen Mamohato Memorial Hospital which can be used to stabilize a patient only. There is a small private hospital, Maseru Private Hospital, which has thirty-two available beds, a small operating theater, radiology, and lab services. However, the facility is under-utilized by residents because of the excessive cost of care. As a result, services there are unreliable, with the x-ray equipment frequently being out of order and a constant change over in staff. A better choice for medical stabilization of emergencies, basic x-ray services, simple hospitalizations (i.e., IV re-hydration) and basic emergency care is the Wilies Clinic, run by the PMA, Dr. Hoedoafia. The facility is clean, well-equipped with basic supplies and medications, and Dr. Hoedoafia is available 24/7. Medical services in Bloemfontein are excellent. Employees frequently go there for specialty consultations. In any emergency, patients would be stabilized at the any of the 3 hospitals and then transported by car, ambulance or helicopter to the Medi-Clinic in Bloemfontein. The medevac center for Maseru is Pretoria. All the hospitals have pharmacies for OTC and prescription refills. For emergency services in Lesotho, dial Landline: +266 22326690, Cell:+266 80012121/+266 5834 9286. Ambulance services are: not widely available and training and availability of emergency responders may be below U.S. standards. not present throughout the country or are unreliable in most areas except in Maseru, Mafeteng, Berea, Leribe and Mohale’s Hoek Injured or seriously ill travelers may prefer to take a taxi or private vehicle to the nearest major hospital rather than wait for an ambulance. VITALITY AMBULANCE MASERU Contact person: Dr Malebohang Raleche Landline: +266 22326690 Cell:+266 80012121/+266 5834 9286 We do not pay medical bills. Be aware that U.S. Medicare does not apply overseas. Medical Insurance: Make sure your health insurance plan provides coverage overseas. Most care providers overseas only accept cash payments. See our webpage for more information on insurance providers for overseas coverage . We strongly recommend supplemental insurance to cover medical evacuation. If traveling with prescription medication, check with the government of Lesotho, and its MFA to ensure the medication is legal in Lesotho. Always carry an adequate supply of your prescription medication in original packaging with your doctor’s prescription. Always carry your prescription medication in original packaging, along with your doctor’s prescription. Lesotho has one of the highest HIV rates in the world. Approximately one-quarter of the adult population of Lesotho infected with HIV. Travelers are advised to practice safe sex if engaging in sexual activity, or if exposed to blood products through injuries or rendering assistance to accident victims. The following diseases are prevalent: Tuberculosis (TB) Schistosomiasis African Tick-Bite Fever Hantavirus Rabies Typhoid Yellow Fever Hepatitis A Hepatitis B Measles Chikungunya Helminths Leptosporisis Vaccinations: Be up-to-date on all vaccinations recommended by the U.S. Centers for Disease Control and Prevention. Air Quality: Visit AirNow Department of State for information on air quality at U.S. Embassies and Consulates. The U.S. Embassy maintains a list of doctors and hospitals . We do not endorse or recommend any specific medical provider or clinic. Further health information: World Health Organization U.S. Centers for Disease Control and Prevention (CDC) OPTIONAL stock language for Health section on special circumstances : Health facilities in general: No adequate health facilities are available in Lesotho. Public medical clinics lack basic resources and supplies. Hospitals and doctors often require payment “up front” prior to service or admission.[Credit card payment is not always available. Some hospitals and medical professionals require cash payment. Private hospitals usually require advance payment or letter of guarantee of payment. Be aware that some hotels, resorts, etc. have exclusive agreements with medical providers, which may limit your choices in seeking emergency medical attention. Medical staff may speak fluent English. Generally, in public hospitals only minimal staff is available overnight in non-emergency wards. Patients bear all costs for transfer to or between hospitals. Psychological and psychiatric services are limited, even in the larger cities, with hospital-based care only available through government institutions. Pharmaceuticals: Exercise caution when purchasing medication overseas. Pharmaceuticals, both over the counter and requiring prescription in the United States, are often readily available for purchase with little controls. Counterfeit and substandard medication is common and may prove to be ineffective, the wrong strength, or contain dangerous ingredients. Medication should be purchased in consultation with a medical professional and from reputable establishments. U.S. Customs and Border Protection and the Food and Drug Administration are responsible for rules governing the transport of medication back to the United States. Medication purchased abroad must meet their requirements to be legally brought back into the United States. Medication should be for personal use and must be approved for usage in the United States. Please visit the U.S. Customs and Border Protection and the Food and Drug Administration websites for more information. Non-Traditional Medicine: U.S. citizens have suffered serious complications or died while seeking medical care from non-traditional “healers” and practitioners in Lesotho. Ensure you have access to licensed emergency medical facilities in such cases. Water Quality: In Maseru, tap water is potable. Bottled water and beverages are generally safe, although you should be aware that many restaurants and hotels serve tap water unless bottled water is specifically requested. Be aware that ice for drinks may be made using tap water. Altitude: Many cities in Lesotho, are at high altitude. Beware of the symptoms of altitude sickness, and take precautions before you travel. Visit the U.S. Centers for Disease Control and Prevention website for more information about Travel to High Altitudes . General Health Language: Use the U.S. Centers for Disease Control and Prevention recommended mosquito repellents and sleep under insecticide-impregnated mosquito nets. Chemoprophylaxis is recommended for all travelers even for short stays. HIV/AIDS: Lesotho has one of the highest HIV rates in the world. Approximately one-quarter of the adult population of Lesotho is infected with HIV. Visit the U.S. Centers for Disease Control and Prevention website for more information about Resources for Travelers regarding specific issues in Lesotho. Air Quality: Air pollution is a significant problem in several major cities in Lesotho. Consider the impact seasonal smog and heavy particulate pollution may have on you and consult your doctor before traveling if necessary. People at the greatest risk from particle pollution exposure include: Infants, children, and teens People over 65 years of age People with lung disease such as asthma and chronic obstructive pulmonary disease (COPD), which includes chronic bronchitis and emphysema. People with heart disease or diabetes People who work or are active outdoors"
106,"Hospitals and medical facilities in Liberia are poorly equipped and are incapable of providing many services. Emergency services comparable to those in the United States or Europe are non-existent, and the blood supply is unreliable and unsafe for transfusion. For serious medical problems, you should consider traveling to the United States, Europe, or South Africa for treatment. Within Liberia, medicines are scarce, often beyond expiration dates, possibly counterfeit, and generally unavailable in most areas. Malaria and yellow fever are prevalent throughout the country. Yellow fever immunization is required to enter Liberia and recommended for all residents. Chemoprophylaxis (anti-malarial medication) is recommended for all travelers, even for short stays. You should: Carry and use insect repellents containing either 20 percent DEET, picaridin, oil of lemon eucalyptus or IR3535. Treat clothing and tents with permethrin. Sleep in screened or air-conditioned rooms under insecticide-impregnated mosquito nets. Emergency services are absent or are unreliable in most areas. Some medical facilities in Monrovia do have ambulances but they use these vehicles primarily for patient transport. Emergency services such as those in the United States do not exist in Liberia. Ambulances are not equipped with state-of-the-art medical equipment. Ambulances are not staffed with trained paramedics and often have little or no medical equipment. Injured or seriously ill travelers may prefer to take a taxi or private vehicle to the nearest major hospital rather than wait for an ambulance. We do not pay medical bills. Be aware that U.S. Medicare does not apply overseas. Medical Insurance: Make sure your health insurance plan provides coverage overseas. Most care providers overseas only accept cash payments. See our webpage for more information on insurance providers for overseas coverage . We strongly recommend supplemental insurance to cover medical evacuation. If traveling with prescription medication, check with the government of Liberia to ensure the medication is legal in Liberia. Always, carry your prescription medication in original packaging with your doctor’s prescription. The following diseases and medical hazards are prevalent: Malaria Yellow Fever Typhoid Hepatitis A, B, and C Rabies Diarrheal Illnesses Tuberculosis Schistosomiasis Onchocerciasis Lassa Fever Rickettsial Infections Snake Bites Sexually Transmitted Infections Vaccinations: Be up-to-date on all vaccinations recommended by the U.S. Centers for Disease Control and Prevention. Further health information: World Health Organization U.S. Centers for Disease Control and Prevention (CDC) Air Quality: Visit AirNow Department of State for information on air quality at U.S. Embassies and Consulates. The U.S. Embassy maintains a list of doctors and hospitals . We do not endorse or recommend any specific medical provider or clinic."
107,"While some health care providers have been trained in the United States or Europe, basic modern medical care and/or medicines may not be available in Libya. Many Libyan citizens prefer to be treated outside Libya for serious medical conditions. The U.S. government does not pay medical bills. Be aware that U.S. Medicare does not apply overseas. Medical Insurance: Make sure your health insurance plan provides coverage overseas. Most care providers overseas only accept cash payments. See our webpage for more information on insurance providers for overseas coverage . We strongly recommend supplemental insurance to cover medical evacuation. If traveling with prescription medication, check with the Libyan Embassy in Washington, D.C . to ensure the medication is legal in Libya. Always carry your prescription medication in original packaging with your doctor’s prescription."
108,"For emergency services in Liechtenstein dial 144, or 117 for police. Medical care is comparable to that found in the United States. Ambulance services are widely available. The U.S. government does not pay medical bills. Be aware that U.S. Medicare does not apply overseas. Swiss medical facilities and care providers will ask for you to settle your bills onsite and you will have to claim a refund with your insurer later. It is common for hospitals to ask for a deposit to ensure medical costs will be covered. Medical Insurance: Make sure your health insurance plan provides coverage overseas. Most care providers overseas only accept cash payments. See our webpage for more information on insurance providers for overseas coverage. Visit the U.S. Centers for Disease Control and Prevention for more information on type of insurance you should consider before you travel overseas. Medications: Over-the-counter medicine is available at pharmacies and a pharmacist is on call 24/7. Information regarding the pharmacy and pharmacist on duty in your area can be obtained over the medical emergency telephone line by dialing 144. If traveling with prescription medication, check with the Swiss Federal Customs Administration to ensure the medication is legal in Switzerland or Liechtenstein. Always, carry your prescription medication in original packaging with your doctor’s prescription. Vaccinations: Be up-to-date on all vaccinations recommended by the U.S. Centers for Disease Control and Prevention. Tick-borne encephalitis (TBE) is common. Travelers planning high-risk activities (camping, adventure travel) should take precautions. See the website of the U.S. Centers for Disease Control and Prevention (CDC) for more details on TBE and TBE prevention. Further health information: World Health Organization U.S. Centers for Disease Control and Prevention (CDC)"
109,"Medical care in Lithuania has improved, but facilities may be limited outside urban areas. Medical facilities do not always meet Western standards. Payment is expected upon admission at private hospitals . For emergency services in Lithuania, dial 112 (English-speaking operators are available) Ambulance services are widely available, but training and availability of emergency responders may be below U.S. standards. We do not pay medical bills. Be aware that U.S. Medicare/Medicaid does not apply overseas. Most hospitals and doctors overseas do not accept U.S. health insurance. Medical Insurance: Make sure your health insurance plan provides coverage overseas. Most care providers overseas only accept cash payments. See our webpage for more information on insurance providers for overseas coverage. Visit the U.S. Centers for Disease Control and Prevention for more information on type of insurance you should consider before you travel overseas. We strongly recommend supplemental insurance to cover medical evacuation. Always carry your prescription medication in original packaging with your doctor’s prescription. Please review the Lithuanian rules for importing medication into Lithuania here . The Lithuanian government does not require HIV testing for U.S. citizens. Sexually transmitted diseases are a growing public health problem. Vaccinations: Be up-to-date on all vaccinations recommended by the U.S. Centers for Disease Control and Prevention. Further health information: World Health Organization U.S. Centers for Disease Control and Prevention (CDC) General Health The following diseases are prevalent: Tuberculosis Tick-borne encephalitis (TBE) Lyme disease Rabies Visit the U.S. Centers for Disease Control and Prevention website for more information about Resources for Travelers regarding specific issues in Lithuania."
110,"We do not pay medical bills. Be aware that U.S. Medicare/Medicaid does not apply overseas. Most hospitals and doctors overseas do not accept U.S. health insurance. Medical Insurance: Make sure your health insurance plan provides coverage overseas. Most care providers overseas only accept cash payments. See our webpage for more information on insurance providers for overseas coverage . Visit the U.S. Centers for Disease Control and Prevention for more information on the type of insurance you should consider before you travel. We strongly recommend supplemental insurance to cover medical evacuation. If traveling with prescription medication, carry your prescription medication in original packaging with your doctor’s prescription or be prepared to show that it is required for your personal use. As there are very limited flights coming to Luxembourg from outside the Schengen area, follow the guidelines for medications allowed into the Schengen area. Vaccinations: Be up-to-date on all vaccinations recommended by the U.S. Centers for Disease Control and Prevention. Further health information: World Health Organization U.S. Centers for Disease Control and Prevention (CDC) The U.S. Embassy maintains a list of doctors and hospitals . We do not endorse or recommend any specific medical provider or clinic."
111,"For emergency services in Macau, dial 999. Ambulance services are widely available. Quality of Care: Several major hospitals in Macau have adequate medical facilities, and the Kiang Wu and Conde de Sao Januario hospitals are able to provide emergency medical care. Highly developed medical facilities and trained personnel are available in Hong Kong, which is about an hour by jetfoil, 1-2 hours by car, and twenty minutes by helicopter from Macau. We do not pay medical bills. Be aware that U.S. Medicare/Medicaid does not apply overseas. Most hospitals and doctors overseas do not accept U.S. health insurance. Medical Insurance: Make sure your health insurance plan provides coverage overseas. Most care providers overseas only accept cash payments. See Insurance Providers for Overseas Coverage page for more information on insurance providers for overseas coverage. Visit the U.S. Centers for Disease Control and Prevention for more information on type of insurance you should consider before you travel overseas. We strongly recommend supplemental insurance to cover medical evacuation. Payment and Insurance: Travelers will be asked to post a deposit prior to admission to hospitals to cover the expected cost of treatment. Hospitals and clinics generally accept credit cards. U.S. Consulate General Hong Kong & Macau maintains a list of local English-speaking doctors and hospitals . We do not endorse or recommend any specific medical provider or clinic. Medication : Always carry your prescription medication in original packaging, along with your doctor’s prescription. Prescription drugs are widely available, although names may vary. You need a prescription from a doctor in Macau to purchase medications locally. Bring prescription medications to cover your stay in Macau or plan to see a physician in Macau to obtain a new prescription. If traveling with prescription medication, check with the government of Macau to ensure the medication is legal Macau. Always carry your prescription medication in original packaging with your doctor’s prescription. Air Quality : Visit AirNow Department of State for information on air quality at U.S. Embassies and Consulates. Air pollution is an increasing concern in Macau. Congested vehicle traffic and mainland factories pump out ozone, sulfur, and nitrogen oxides, leading to a visible haze in the atmosphere on most days of the year. Average roadside pollution levels exceed World Health Organization (WHO) guidelines and may cause health risks for those with allergies, asthma, or cardiac problems. People at the greatest risk from particle pollution exposure include: Infants, children, and teens; People over 65 years of age; People with lung disease such as asthma and chronic obstructive pulmonary disease (COPD), which includes chronic bronchitis and emphysema; People with heart disease or diabetes; and People who work or are active outdoors. Disease: Hepatitis A, Hepatitis B, Typhoid, Chikungunya (via mosquitoes), Avian Influenza, and Hand, Foot, and Mouth disease. Vaccinations: Be up-to-date on all vaccinations recommended by the CDC. COVID-19 Testing: COVID-19 PCR tests are available at private laboratories and clinics in Macau . The price for these PCR tests generally ranges from 50 to 100 US Dollars. Rapid COVID-19 tests are readily available at pharmacies and retail establishments throughout Macau. COVID-19 Vaccines: The COVID-19 vaccine is available in Macau for U.S. citizen residents of Macau. Please see here for more information. Visit the U.S. Food and Drug Administration (FDA)'s website to learn more about FDA-approved vaccines in the United States. For further health information : World Health Organization (WHO) U.S. Centers for Disease Control and Prevention (CDC)"
112,"COVID-19 Testing: U.S. citizens may obtain a COVID-19 test from their local health care provider and laboratories in North Macedonia. Testing fees must be paid by the patient. Prices range from 1,200 – 5,000 denars, depending on the laboratory and type of test, and are subject to change. Fees are payable in cash or credit card.  English translation of COVID-19 test results is available at an extra cost. Test results may be obtained via e-mail or as a physical paper copy. Testing is also available at private laboratories. Medical care in North Macedonia varies in quality by location and provider. Skopje has four private hospitals that offer services ranging from cardiovascular surgery to pediatric intensive care.  Quality of care is not equal to U.S. health care.  Outside Skopje, medical care is substandard, with the exception of trauma services in Ohrid. For emergency services in North Macedonia, dial 112 (general emergency line) or 194 (direct for ambulance). Ambulance services are: Not widely available, except in Skopje and major tourist areas, such as Ohrid. Training and availability of emergency responders may be below U.S. standards. A government formulary controls which prescription medications are available; the list does not include several medications available in most Western countries. Insulin is not available to non-citizens. Government-operated emergency services are substandard. Ambulances generally transport to state hospitals unless specifically requested to a private hospital. Private emergency services in Skopje, operated by private institutions, meet higher quality standards. We do not pay medical bills. Be aware that U.S. Medicare/Medicaid does not apply overseas. Most hospitals and doctors overseas do not accept U.S. health insurance. Medical Insurance: Make sure your health insurance plan provides coverage overseas. Most care providers overseas only accept cash payments. See our webpage for more information on insurance providers for overseas coverage. Visit the U.S. Centers for Disease Control and Prevention for more information on type of insurance you should consider before you travel overseas. We strongly recommend supplemental insurance to cover medical evacuation. Vaccinations: Be up to date on all vaccinations recommended by the U.S. Centers for Disease Control and Prevention. Further health information: World Health Organization U.S. Centers for Disease Control and Prevention (CDC) Air Quality: Visit AirNow Department of State for information on air quality at U.S. Embassies and Consulates. Air pollution is a significant problem in several major cities in North Macedonia. Consider the impact seasonal smog and heavy particulate pollution may have on you and consult your doctor before traveling if necessary. The U.S. Embassy maintains a list of doctors and hospitals .  We do not endorse or recommend any specific medical provider or clinic. Health facilities in general Adequate health facilities are available throughout North Macedonia but health care in rural areas may be below U.S. standards. Public medical clinics lack basic resources and supplies. Hospitals and doctors may require payment “up front” prior to service or admission. Credit card payment is not always available. Hospitals may require advance payment or proof of adequate insurance before admitting a patient. U.S. citizens have lodged complaints about unethical business practices, prices, and collection measures against some of the private institutions.  Travelers should make efforts to obtain complete information on billing, pricing, and proposed medical procedures before agreeing to any medical care. Be aware that some hotels, resorts, etc. have exclusive agreements with medical providers, which may limit your choices in seeking emergency medical attention. Medical staff may speak little or no English. Generally, in public hospitals, only minimal staff is available overnight in non-emergency wards. Consider hiring a private nurse or having family spend the night with the patient, especially a minor child. Patients bear all costs for transfer to or between hospitals. Psychological and psychiatric services are limited, even in the larger cities, with hospital-based care only available through government institutions. Medical Tourism and Elective Surgery Medical tourism is a rapidly growing industry. People seeking health care overseas should understand that medical systems operate differently from those in the United States and are not subject to the same rules and regulations.  Anyone interested in traveling for medical purposes should consult with their local physician before traveling and visit the U.S. Centers for Disease Control and Prevention website for more information on Medical Tourism. Visit the U.S. Centers for Disease Control and Prevention website for information on Medical Tourism, the risks of medical tourism, and what you can do to prepare before traveling to North Macedonia. We strongly recommend supplemental insurance to cover medical evacuation in the event of unforeseen medical complications. Your legal options in case of malpractice are very limited in North Macedonia. Although North Macedonia has many elective/cosmetic surgery facilities that are on par with those found in the United States, the quality of care varies widely.  If you plan to undergo surgery in North Macedonia, make sure that emergency medical facilities are available , and professionals are accredited and qualified. Persons traveling to North Macedonia for medical purposes require the proper “medical” visa.  Check the Government of North Macedonia’s website for more information. Pharmaceuticals Always carry your prescription medicine in original packaging, along with your doctor’s prescription. Check with the Republic of North Macedonia Customs Administration to ensure the medication is legal in North Macedonia. Exercise caution when purchasing medication overseas.  Pharmaceuticals, both over the counter and requiring prescription in the United States, are often readily available for purchase with little controls. Counterfeit medication is common and may prove to be ineffective, the wrong strength, or contain dangerous ingredients.  Medication should be purchased in consultation with a medical professional and from reputable establishments. U.S. Customs and Border Protection and the Food and Drug Administration are responsible for rules governing the transport of medication back to the United States.  Medication purchased abroad must meet their requirements to be legally brought back into the United States.  Medication should be for personal use and must be approved for usage in the United States.  Please visit the U.S. Customs and Border Protection and the Food and Drug Administration websites for more information. Assisted Reproductive Technology and Surrogacy If you are considering traveling to North Macedonia to have a child through use of assisted reproductive technology (ART) or surrogacy, please see our ART and Surrogacy Abroad page . If you decide to pursue parenthood in North Macedonia via assisted reproductive technology (ART) with a gestational mother, be prepared for long and unexpected delays in documenting your child’s citizenship. Surrogacy is legal in North Macedonia, but there are strict procedures that should be followed and individuals who attempt to circumvent local law may face criminal prosecution.  For additional information, consult the Ministry of Health’s website, available in the Macedonian language only. Water Quality In many areas, tap water is not potable. Bottled water and beverages are generally safe, although you should be aware that many restaurants and hotels serve tap water unless bottled water is specifically requested.  Be aware that ice for drinks may be made using tap water. Adventure Travel Visit the U.S. Centers for Disease Control and Prevention website for more information about Adventure Travel . Visit the U.S. Centers for Disease Control and Prevention website for more information about Resources for Travelers regarding specific issues in North Macedonia. Air Quality Air pollution is a significant problem in several major cities in North Macedonia. Consider the impact seasonal smog and heavy particulate pollution may have on you and consult your doctor before traveling if necessary. The air quality varies considerably and fluctuates with the seasons.  It is typically at its worst in the winter season. Air pollution levels in Skopje are between two and three times those of the most polluted areas in the United States. People at the greatest risk from particle pollution exposure include: Infants, children, and teens. People over 65 years of age. People with lung disease such as asthma and chronic obstructive pulmonary disease (COPD), which includes chronic bronchitis and emphysema. People with heart disease or diabetes. People who work or are active outdoors."
113,"Consult the CDC website for Madagascar prior to travel. Plague is endemic on the island, where outbreaks have resurfaced nearly every year since 1980. U.S. citizens visiting Madagascar are urged to monitor public health announcements from the Ministry of Public Health and the World Health Organization, and to follow public health guidelines and recommendations. Plague can be successfully treated with antibiotics, but it is crucial to seek medical treatment immediately, if you experience any plague signs or symptoms. See the List of Health Care Providers on the Embassy Antananarivo web page. You are responsible for all medical costs. U.S. Medicare does not cover you overseas. Medical Insurance: If your health insurance plan does not provide coverage overseas, we strongly recommend supplemental medical insurance and medical evacuation plans . Carry prescription medication in original packaging, along with your doctor’s prescription. The following diseases are prevalent: Malaria Dengue Fever Chikungunya Diarrheal illness Rabies Tuberculosis Plague Polio Vaccinations: Be up-to-date on all vaccinations recommended by the U.S. Centers for Disease Control and Prevention. Further health information: World Health Organization U.S. Centers for Disease Control and Prevention (CDC)"
114,"For emergency services in Malawi, dial 998. Please note this number is not reliable and travelers should maintain back-up numbers, such as police and ambulance services, for the areas they visit. Ambulance services are not widely available. The training and availability of emergency responders may be below U.S. standards. More information can be found here . Medical facilities are rudimentary. While all health workers have some degree of English proficiency, communication can be difficult. Diarrhea and other food borne illnesses are a common problem. You should avoid tap water, ice cubes, and raw fruits and vegetables. Bottled water is recommended for drinking and food preparation. Consume only food that is well-cooked and served hot. Many medications are not available. You should bring adequate quantities of medications to last the duration of your stay. Always carry your prescription medication in original packaging with your doctor’s prescription. We encourage you to check with your primary healthcare provider or local travel clinic regarding malaria prophylaxis medications. For major medical problems, you should consider obtaining medical treatment in South Africa, where advanced medical care is available. We do not pay medical bills . Be aware that U.S. Medicare does not apply overseas. Hospitals and doctors in Malawi do not accept U.S. health insurance. Medical Insurance: Make sure your health insurance plan provides coverage overseas; most U.S. based medical plans do not. Most care providers overseas only accept cash payments. See our webpage for more information on insurance providers for overseas coverage . Visit the U.S. Centers for Disease Control and Prevention for more information on type of insurance you should consider before you travel overseas. We strongly recommend supplemental insurance to cover medical evacuation. The following diseases are prevalent: Malaria Schistosomiasis Tuberculosis Cholera Hepatitis A Hepatitis B HIV Measles Rabies Typhoid Yellow Fever Leptospirosis African Sleeping Sickness African Tick Bite Fever Chikungunya Dengue Leishmaniasis Hantavirus Use the U.S. Centers for Disease Control and Prevention recommended mosquito repellents and travelers should sleep under insecticide-impregnated mosquito nets. Chemoprophylaxis is recommended for all travelers even for short stays. HIV infection is endemic in the Malawian population. Travelers are advised to take appropriate precautions to limit the risk of transmission through blood or sexual contact. There are often shortages of medicine and medical supplies throughout Malawi. Visit the U.S. Centers for Disease Control and Prevention website for more information about Resources for Travelers regarding specific issues in Malawi. Vaccinations: Be up-to-date on all vaccinations recommended by the U.S. Centers for Disease Control and Prevention. Further health information: World Health Organization U.S. Centers for Disease Control and Prevention (CDC) Air Quality: Visit AirNow Department of State for information on air quality at U.S. Embassies and Consulates. Health facilities in general: Public medical clinics lack basic resources and supplies. Hospitals and doctors require advance payment prior to service or admission. Credit card payment is not always available. Most hospitals and medical professionals require cash payment. Private hospitals require advance payment before admitting a patient. Psychological and psychiatric services are limited, even in the larger cities, with hospital-based care only available through government institutions. Pharmaceuticals Exercise caution when purchasing medication overseas. Pharmaceuticals, both over the counter and requiring prescription in the United States, are often readily available for purchase with little controls. Counterfeit medication is common and may prove to be ineffective, the wrong strength, or contain dangerous ingredients. Medication should be purchased in consultation with a medical professional and from reputable establishments. U.S. Customs and Border Protection and the Food and Drug Administration are responsible for rules governing the transport of medication back to the United States. Medication purchased abroad must meet their requirements to be legally brought back into the United States. Medication should be for personal use and must be approved for usage in the United States. Please visit the U.S. Customs and Border Protection and the Food and Drug Administration websites for more information. Non-Traditional Medicine U.S. citizens have suffered serious complications while seeking medical care from non-traditional healers and practitioners in Malawi. Ensure you have access to licensed emergency medical facilities in such cases. Water Quality Tap water is not potable. Bottled water and beverages are generally safe, although you should be aware that many restaurants and hotels serve tap water unless bottled water is specifically requested. Be aware that ice for drinks may be from tap water. Adventure Travel Visit the U.S. Centers for Disease Control and Prevention website for more information about Adventure Travel ."
